Name,emoji,Votes,Rating,Stars,Reviews,Description,Vegan ,Vegeterian,Delivery,Take-Away,Distance,Price range,Image,Tripadvisor
Centro Natura,🦋,6,"4,4",​🌕​🌕​🌕​🌕​🌗,201 reviews,"Vegan and vegetarian bistro in a wellness area, serving dishes prepared with organic products from the market.",🌱,🥕,Delivery: ✅,Take-Away: ✅,Distance: 61 m,Price range: 8 € - 16 €,https://media-cdn.tripadvisor.com/media/photo-f/16/c1/08/38/componi-il-tuo-piatto.jpg,https://www.tripadvisor.it/Restaurant_Review-g187801-d2692972-Reviews-Centro_Natura-Bologna_Province_of_Bologna_Emilia_Romagna.html
Waikiki Poké,:waikiki-poké:,3,"4,5",​🌕​🌕​🌕​🌕​🌗,369 reviews,Why not try Poke at home today? With Waikiki Poké in Bologna you have the best dishes right at your home.,🌱,🥕,Delivery: ✅,Take-Away: ✅,Distance: 15 m,Price range: 10 € - 18 €,https://media-cdn.tripadvisor.com/media/photo-s/1b/96/cb/35/photo0jpg.jpg,https://www.tripadvisor.it/Restaurant_Review-g187801-d17409138-Reviews-Waikiki_Poke-Bologna_Province_of_Bologna_Emilia_Romagna.html 
Nectare,:nectare:,7,"4,6",​🌕​🌕​🌕​🌕​🌗,178 reviews,"In the center of Bologna, a small and cozy place with vegan and vegetarian dishes, plant based burgers and freshly prepared extracts.",🌱,🥕,Delivery: ✅,Take-Away: ✅,Distance: 76 m,Price range: 5 € - 8 €,https://lh3.googleusercontent.com/p/AF1QipOMJYChe2OcaWvI7tKzMif9fRiqO6w4uh7paZXE=w960-h960-n-o-v1,https://www.tripadvisor.it/Restaurant_Review-g187801-d12326719-Reviews-Nectare-Bologna_Province_of_Bologna_Emilia_Romagna.html
Conad,:conad1:,5,"3,9",​🌕​🌕​🌕​🌕​🌑​,1072 reviews,"At Conad you can do a complete shopping experience, thanks to our members and employees: gastronomy, typical Italian products, organic, gluten-free and lactose-free, for early childhood.",🌱,🥕,Delivery: ❌,Take-Away: ✅,Distance: 483 m,"Price range: 0,5 € - 30 €",https://yt3.ggpht.com/ytc/AKedOLR1hdhX7lxnkwkeWWayayLOyOt1N1SO3RlhkFyMjg=s900-c-k-c0x00ffffff-no-rj,https://www.conad.it/ricerca-negozi/conad-city-via-guglielmo-oberdan-37-40121--bologna--008411 
Just Eat,:justeat:,3,"4,6",​🌕​🌕​🌕​🌕​🌗,226 reviews,Order food from restaurants and pizzerias near you. Choose your favorite menu and take advantage of new discounts and offers every day.,🌱,🥕,Delivery: ✅,Take-Away: ❌,Distance: ,Price range: 1 € - 30 €,https://images.easyfundraising.org.uk/retailer/cropped/logo-just-eat-1596449565.png,https://www.justeat.it/?adj_tracker=55i8wav&adj_campaign=CM_S_G_ITA_IT_%5BBRAND%5D_%5BENGM%5D_Just%20Eat_Bologna_exact%20%28Geocode%29&gclid=EAIaIQobChMIsqjohc3F-AIVA-d3Ch0XxABZEAAYAiAAEgJm8PD_BwE&gclsrc=aw.ds
Pizza Altero,:pizzaltero:,3,"4,1",​🌕​🌕​🌕​🌕​🌑,1500 reviews,"Legendary pizzeria for Bologna, the first to sell freshly baked pizza. High quality that has been maintained over the years.", ,🥕,Delivery: ✅,Take-Away: ✅,Distance: 161 m,"Price range: 1 € - 2,5 €",https://www.pizzaltero.it/img/pizze/1-pizza-margherita.jpg,https://www.tripadvisor.it/Restaurant_Review-g187801-d6218097-Reviews-Pizzeria_Altero-Bologna_Province_of_Bologna_Emilia_Romagna.html
Tamburini,:tamburini:,1,"4,3",​🌕​🌕​🌕​🌕​🌗,3235 reviews,"Wine bar and gastronomy in business since 1932 offering sausages, cold cuts and first courses to be enjoyed inside and on a terrace.", , ,Delivery: ✅,Take-Away: ✅,Distance: 210 m,Price range: 5 € - 30 €,https://www.tamburini.com/wp-content/uploads/2020/11/delivery-bologna.jpg.webp,https://www.tripadvisor.it/Restaurant_Review-g187801-d1319756-Reviews-Tamburini-Bologna_Province_of_Bologna_Emilia_Romagna.html
Yoma,:sushi:,1,"4,2",​🌕​🌕​🌕​🌕​🌑​,1405 reviews,"Bright and charming place with Japanese, Thai and Asian fusion dishes, as well as all you can eat.", ,🥕,Delivery: ✅,Take-Away: ✅,Distance: 80 m,Price range: 2 € - 20 €,https://media-cdn.tripadvisor.com/media/photo-s/11/fe/ea/09/ura-philadelphia.jpg,https://www.tripadvisor.it/Restaurant_Review-g187801-d13498510-Reviews-Ristorante_Giapponese_Yoma-Bologna_Province_of_Bologna_Emilia_Romagna.html
Pizzeria Due Torri,:pizza:,1,"4,3",​🌕​🌕​🌕​🌕​​🌗​,1605 reviews,"Cozy place offering classic cut or round pizzas, as well as calzones and sandwiches.",🌱,🥕,Delivery: ✅,Take-Away: ✅,Distance: 200 m,"Price range: 3,5 € - 8 €","https://just-eat-prod-eu-res.cloudinary.com/image/upload/c_fill,q_auto,f_auto,h_90,w_120,dpr_1.0/v1/it/dishes/209194/margherita-normale",https://www.tripadvisor.it/Restaurant_Review-g187801-d3673597-Reviews-Pizzeria_Due_Torri-Bologna_Province_of_Bologna_Emilia_Romagna.html
Ragù,:ragù1:,3,"4,6",​🌕​🌕​🌕​🌕​🌗​,601 reviews,"Take away Bolognese cuisine. From tagliatelle to tortellini, from meat sauce to all the Bolognese tradition.", ,🥕,Delivery: ✅,Take-Away: ✅,Distance: 230 m,Price range: 5 € - 10 €,https://media-cdn.tripadvisor.com/media/photo-f/12/69/5a/dc/tagliatelle-al-ragu-antica.jpg,https://www.tripadvisor.it/Restaurant_Review-g187801-d13530797-Reviews-Ragu-Bologna_Province_of_Bologna_Emilia_Romagna.html
Kinkhao Thai Food,:kinkhaothaifood:,4,"4,3",​🌕​🌕​🌕​🌕​🌗​,95 reviews,"The dishes of the Thai Cuisine in Street Food Gourmet version. Enjoy them with us, take them away or order them and we will take them directly to your house.",🌱,🥕,Delivery: ✅,Take-Away: ✅,Distance: 900 m,Price range: 9 € - 12 €,https://media-cdn.tripadvisor.com/media/photo-s/1d/6a/e5/1e/pad-thai-thai-style-molto.jpg,https://www.tripadvisor.it/Restaurant_Review-g187801-d23256435-Reviews-Kinkhao_Thai_Food-Bologna_Province_of_Bologna_Emilia_Romagna.html
