Name,Emoji,Votes,Rating,Stars,Reviews,Description,Vegan ,Vegeterian,Delivery,Take-Away,Distance,Price range,Image,Tripadvisor
Centro Natura,🦋,6,"4,4",​🌕​🌕​🌕​🌕​🌗,201 reviews,"Vegan and vegetarian bistro, with organic products from the market.",🌱,🥕,Delivery: ✅,Take-Away: ✅,Distance: 61 m,Price range: 8 € - 16 €,https://media-cdn.tripadvisor.com/media/photo-f/16/c1/08/38/componi-il-tuo-piatto.jpg,shorturl.at/fLQTX
Waikiki Poké,:waikiki-poké:,3,"4,5",​🌕​🌕​🌕​🌕​🌗,369 reviews,Restaurant that offer different Poké.,🌱,🥕,Delivery: ✅,Take-Away: ✅,Distance: 15 m,Price range: 10 € - 18 €,https://media-cdn.tripadvisor.com/media/photo-s/1b/96/cb/35/photo0jpg.jpg,shorturl.at/LW135
Nectare,:nectare:,7,"4,6",​🌕​🌕​🌕​🌕​🌗,178 reviews,"Vegan and vegetarian restaurant, with plant based burgers, freshly prepared extracts...",🌱,🥕,Delivery: ✅,Take-Away: ✅,Distance: 76 m,Price range: 5 € - 8 €,https://lh3.googleusercontent.com/p/AF1QipOMJYChe2OcaWvI7tKzMif9fRiqO6w4uh7paZXE=w960-h960-n-o-v1,shorturl.at/cHV04
Conad,:conad1:,5,"3,9",​🌕​🌕​🌕​🌕​🌑​,1072 reviews,Grocery store.,🌱,🥕,Delivery: ❌,Take-Away: ✅,Distance: 483 m,"Price range: 0,5 € - 30 €",https://yt3.ggpht.com/ytc/AKedOLR1hdhX7lxnkwkeWWayayLOyOt1N1SO3RlhkFyMjg=s900-c-k-c0x00ffffff-no-rj,shorturl.at/akosG
Just Eat,:justeat:,3,"4,6",​🌕​🌕​🌕​🌕​🌗,226 reviews,Online site to order from any restaurant. ,🌱,🥕,Delivery: ✅,Take-Away: ❌,Distance: \\,Price range: 1 € - 30 €,https://images.easyfundraising.org.uk/retailer/cropped/logo-just-eat-1596449565.png,shorturl.at/nzP08
Pizza Altero,:pizzaltero:,3,"4,1",​🌕​🌕​🌕​🌕​🌑,1500 reviews,Offer freshly prepared slices of pizza., ,🥕,Delivery: ✅,Take-Away: ✅,Distance: 161 m,"Price range: 1 € - 2,5 €",https://www.pizzaltero.it/img/pizze/1-pizza-margherita.jpg,shorturl.at/oOV07
Tamburini,:tamburini:,1,"4,3",​🌕​🌕​🌕​🌕​🌗,3235 reviews,"Wine bar and gastronomy offering sausages, cold cuts and first courses.", , ,Delivery: ✅,Take-Away: ✅,Distance: 210 m,Price range: 5 € - 30 €,https://www.tamburini.com/wp-content/uploads/2020/11/delivery-bologna.jpg.webp,shorturl.at/nrIJV
Yoma,:sushi:,1,"4,2",​🌕​🌕​🌕​🌕​🌑​,1405 reviews,"Asian restaurant with Japanese, Thai and Asian fusion dishes.", ,🥕,Delivery: ✅,Take-Away: ✅,Distance: 80 m,Price range: 2 € - 20 €,https://media-cdn.tripadvisor.com/media/photo-s/11/fe/ea/09/ura-philadelphia.jpg,shorturl.at/ovxPY
Pizzeria Due Torri,:pizza:,1,"4,3",​🌕​🌕​🌕​🌕​​🌗​,1605 reviews,"Cozy place offering pizzas, calzones and sandwiches.",🌱,🥕,Delivery: ✅,Take-Away: ✅,Distance: 200 m,"Price range: 3,5 € - 8 €","https://just-eat-prod-eu-res.cloudinary.com/image/upload/c_fill,q_auto,f_auto,h_90,w_120,dpr_1.0/v1/it/dishes/209194/margherita-normale",shorturl.at/abuHL
Ragù,:ragù1:,3,"4,6",​🌕​🌕​🌕​🌕​🌗​,601 reviews,"Bolognese cuisine: tagliatelle, tortellini...", ,🥕,Delivery: ✅,Take-Away: ✅,Distance: 230 m,Price range: 5 € - 10 €,https://media-cdn.tripadvisor.com/media/photo-f/12/69/5a/dc/tagliatelle-al-ragu-antica.jpg,shorturl.at/pBY16
Kinkhao Thai Food,:kinkhaothaifood:,4,"4,3",​🌕​🌕​🌕​🌕​🌗​,95 reviews,The dishes of the Thai Cuisine in Street Food Gourmet version. ,🌱,🥕,Delivery: ✅,Take-Away: ✅,Distance: 900 m,Price range: 9 € - 12 €,https://media-cdn.tripadvisor.com/media/photo-s/1d/6a/e5/1e/pad-thai-thai-style-molto.jpg,shorturl.at/cjsIU
Gusto Chengdu,:dumpling:,5,"4,3",​🌕​🌕​🌕​🌕​🌗,852 reviews,"Chinese cuisine, traditional dishes of the city of Chengdu.",🌱,🥕,Delivery: ✅,Take-Away: ✅,Distance: 220 m,Price range: 15 € - 30 €,https://media-cdn.tripadvisor.com/media/photo-f/0f/52/8e/c1/photo6jpg.jpg,shorturl.at/cnuAF
